  A,  B,  Dir1, Dir2, Dir3, Dir4
43,100,0,0,0,1
100,240,0,0,0,1
102,317,0,0,1,0
104,102,0,0,1,0
106,104,0,0,1,0
108,237,0,0,0,1
111,106,0,0,1,0
116,322,0,0,1,0
117,119,0,0,0,1
119,122,0,0,0,1
120,116,0,0,1,0
122,132,0,0,0,1
123,120,0,0,1,0
131,123,0,0,1,0
132,316,0,0,0,1
134,131,0,0,1,0
135,137,0,0,0,1
136,134,0,0,1,0
137,139,0,0,0,1
138,136,0,0,1,0
139,150,0,0,0,1
149,138,0,0,1,0
150,151,0,0,0,1
151,160,0,0,0,1
152,149,0,0,1,0
156,152,0,0,1,0
157,285,0,0,1,0
158,163,0,0,0,1
160,290,0,0,0,1
163,173,0,0,0,1
170,157,0,0,1,0
173,176,0,0,0,1
175,170,0,0,1,0
176,272,0,0,0,1
177,267,0,0,1,0
178,181,0,0,0,1
179,177,0,0,1,0
181,188,0,0,0,1
187,179,0,0,1,0
188,189,0,0,0,1
189,194,0,0,0,1
190,187,0,0,1,0
193,190,0,0,1,0
194,197,0,0,0,1
196,193,0,0,1,0
197,198,0,1,0,0
198,200,0,1,0,0
199,196,1,0,0,0
200,202,0,1,0,0
201,199,1,0,0,0
202,233,0,1,0,0
203,201,1,0,0,0
204,232,0,0,1,0
205,206,0,0,0,1
206,211,0,0,0,1
207,204,0,0,1,0
211,219,0,0,0,1
212,207,0,0,1,0
219,244,0,0,0,1
220,212,0,0,1,0
222,243,0,0,1,0
223,225,0,0,0,1
223,226,0,1,0,0
224,222,0,0,1,0
226,229,0,1,0,0
227,222,1,0,0,0
229,236,0,1,0,0
230,227,1,0,0,0
232,203,1,0,0,0
233,205,0,0,0,1
234,239,0,0,1,0
235,230,1,0,0,0
237,117,0,0,0,1
239,41,0,0,1,0
240,108,0,0,0,1
242,234,0,0,1,0
243,220,0,0,1,0
244,223,0,0,0,1
245,247,0,0,1,0
246,311,0,0,0,1
247,249,0,0,1,0
248,246,0,0,0,1
249,251,0,0,1,0
250,248,0,0,0,1
251,253,1,0,0,0
252,250,0,0,0,1
253,255,1,0,0,0
254,252,0,1,0,0
255,257,0,0,1,0
256,254,0,1,0,0
257,259,0,0,1,0
258,256,0,0,0,1
259,261,0,0,1,0
260,258,0,0,0,1
261,263,0,0,1,0
262,260,0,0,0,1
263,265,0,0,1,0
264,262,0,0,0,1
265,271,0,0,1,0
266,264,0,0,0,1
267,269,0,0,1,0
268,178,0,0,0,1
269,175,0,0,1,0
270,266,0,0,0,1
271,273,0,0,1,0
272,268,0,0,0,1
273,275,0,0,1,0
274,270,0,0,0,1
275,277,0,0,1,0
276,274,0,0,0,1
277,283,0,0,1,0
278,276,0,0,0,1
279,291,0,0,1,0
280,288,0,0,0,1
283,287,0,0,1,0
284,278,0,0,0,1
285,289,0,0,1,0
286,158,0,0,0,1
287,279,0,0,1,0
288,284,0,0,0,1
289,156,0,0,1,0
290,286,0,0,0,1
291,293,0,0,1,0
292,280,0,0,0,1
293,295,0,0,1,0
294,292,0,0,0,1
295,297,0,0,1,0
296,294,0,0,0,1
297,299,0,0,1,0
298,296,0,0,0,1
299,301,0,0,1,0
300,298,0,0,0,1
301,302,0,0,1,0
302,323,0,0,1,0
310,245,0,0,1,0
316,135,0,0,0,1
317,242,0,0,1,0
322,111,0,0,1,0
