A,B,LOC_check,CNT_2020,CNT_2040
39,235,1,6600,11100
236,38,2,6600,11100
224,222,3,22600,38400
223,225,4,22600,38400
220,218,5,2700,5100
216,219,6,2700,5100
213,207,7,2000,4350
206,209,8,2000,4350
203,201,9,28500,46308
200,202,10,28500,46308
196,192,11,2650,4000
195,197,12,2650,4000
192,190,13,5950,8500
189,195,14,5950,8500
190,187,15,31800,50808
188,189,16,31800,50808
183,180,17,4300,7350
182,185,18,4300,7350
180,177,19,4100,7491
178,182,20,4100,7491
170,169,21,3050,5250
172,173,22,3050,5250
157,285,23,34150,56449
286,158,24,34150,56449
155,157,25,5600,10750
163,159,26,5600,10750
152,149,27,37200,61350
150,151,28,37200,61350
156,281,29,3750,11000
153,160,30,3750,11000
140,138,31,9200,13900
139,141,32,9200,13900
136,134,33,42650,64250
135,137,34,42650,64250
134,130,35,5350,8800
133,316,36,5350,8800
127,126,37,4500,8850
125,128,38,4500,8850
123,120,39,41800,64300
119,122,40,41800,64300
120,118,41,1850,2950
115,119,42,1850,2950
322,111,43,39950,61350
108,237,44,39950,61350
154,152,45,3050,4900
151,282,46,3050,4900
269,175,47,31600,50949
176,272,48,31600,50949
