A,B,LOC_check,CNT_2020,Dir_SB_NB
39,235,1,6600,1
236,38,2,6600,2
224,222,3,22600,1
223,225,4,22600,2
220,212,5,26500,1
211,219,6,26500,2
212,207,7,28500,1
206,211,8,28500,2
203,201,9,28500,1
200,202,10,28500,2
196,193,11,25850,1
194,197,12,25850,2
193,190,13,31800,1
189,194,14,31800,2
190,187,15,31800,1
188,189,16,31800,2
187,179,17,27500,1
181,188,18,27500,2
268,178,19,31600,2
177,267,20,31600,1
170,157,21,28550,1
163,173,22,28550,2
157,285,23,34150,1
286,158,24,34150,2
289,156,25,34150,1
160,290,26,34150,2
152,149,27,37200,1
150,151,28,37200,2
156,152,29,30400,1
151,160,30,30400,2
149,138,31,37200,1
139,150,32,37200,2
136,134,33,42650,1
135,137,34,42650,2
134,131,35,37300,1
132,316,36,37300,2
131,123,37,37300,1
122,132,38,37300,2
123,120,39,41800,1
119,122,40,41800,2
120,116,41,39950,1
117,119,42,39950,2
322,111,43,39950,1
108,237,44,39950,2
269,175,47,31600,1
176,272,48,31600,2
