  A,  B,  LOC, FTYPE, GL_VOL, EL_VOL
     39.00,    235.00,      1.00,     52.00,         0,         0
    108.00,    237.00,     44.00,     91.00,  61357.92,         0
    115.00,    119.00,     42.00,     71.00,         0,         0
    119.00,    122.00,     40.00,     91.00,  77694.52,         0
    120.00,    118.00,     41.00,     71.00,         0,         0
    123.00,    120.00,     39.00,     91.00,  69934.88,         0
    125.00,    128.00,     38.00,     71.00,         0,         0
    127.00,    126.00,     37.00,     71.00,         0,         0
    133.00,    316.00,     36.00,     71.00,         0,         0
    134.00,    130.00,     35.00,     71.00,         0,         0
    135.00,    137.00,     34.00,     91.00,  60397.49,         0
    136.00,    134.00,     33.00,     91.00,  63620.46,         0
    139.00,    141.00,     32.00,     71.00,         0,         0
    140.00,    138.00,     31.00,     71.00,         0,         0
    153.00,    160.00,     30.00,     71.00,         0,         0
    155.00,    157.00,     25.00,     71.00,         0,         0
    156.00,    281.00,     29.00,     71.00,         0,         0
    157.00,    285.00,     27.00,     91.00,  56035.90,         0
    163.00,    159.00,     26.00,     71.00,         0,         0
    163.00,    173.00,     24.00,     91.00,  48542.93,         0
    170.00,    157.00,     23.00,     91.00,  49757.75,         0
    170.00,    169.00,     21.00,     71.00,         0,         0
    172.00,    173.00,     22.00,     71.00,         0,         0
    178.00,    182.00,     20.00,     71.00,         0,         0
    180.00,    177.00,     19.00,     71.00,         0,         0
    182.00,    185.00,     18.00,     71.00,         0,         0
    183.00,    180.00,     17.00,     71.00,         0,         0
    188.00,    189.00,     16.00,     91.00,  50452.02,         0
    189.00,    195.00,     14.00,     71.00,         0,         0
    190.00,    187.00,     15.00,     91.00,  50565.40,         0
    192.00,    190.00,     13.00,     71.00,         0,         0
    195.00,    197.00,     12.00,     71.00,         0,         0
    196.00,    192.00,     11.00,     71.00,         0,         0
    200.00,    202.00,     10.00,     91.00,  44053.49,         0
    203.00,    201.00,      9.00,     91.00,  44106.48,         0
    206.00,    209.00,      8.00,     71.00,         0,         0
    213.00,    207.00,      7.00,     71.00,         0,         0
    216.00,    219.00,      6.00,     71.00,         0,         0
    220.00,    218.00,      5.00,     71.00,         0,         0
    223.00,    225.00,      4.00,     91.00,  38100.66,         0
    224.00,    222.00,      3.00,     91.00,  38107.75,         0
    236.00,     38.00,      2.00,     52.00,         0,         0
    286.00,    158.00,     28.00,     91.00,  54276.52,         0
    322.00,    111.00,     43.00,     91.00,  70910.33,         0
